dataset,episode_id,split,mode,duration_sec,task_success,task_progress,mean_l2,source
DROID,1477,L2,original,9.666666666666666,0.0,0.0,0.09033144615073922,droid_3way_selected150.json
DROID,1477,L2,llm_dual,9.666666666666666,1.0,0.7,0.09367300198804356,droid_3way_selected150.json
DROID,1477,L2,llm_val,9.666666666666666,1.0,0.9,0.0925584762224604,droid_3way_selected150.json
DROID,1832,L1,original,7.8,0.0,0.4,0.12000104230096072,droid_3way_selected150.json
DROID,1832,L1,llm_dual,7.8,0.0,0.4,0.12384013069953152,droid_3way_selected150.json
DROID,1832,L1,llm_val,7.8,1.0,0.6,0.10803977820629036,droid_3way_selected150.json
DROID,1631,L3,original,15.333333333333334,0.0,0.0,0.15296534010170693,droid_3way_selected150.json
DROID,1631,L3,llm_dual,15.333333333333334,1.0,0.7,0.13250685385353772,droid_3way_selected150.json
DROID,1631,L3,llm_val,15.333333333333334,1.0,0.7,0.12770317479882218,droid_3way_selected150.json
DROID,1842,L3,original,19.6,0.0,0.4,0.16020685255472772,droid_3way_selected150.json
DROID,1842,L3,llm_dual,19.6,1.0,0.7,0.07743132229820589,droid_3way_selected150.json
DROID,1842,L3,llm_val,19.6,1.0,0.7,0.08060228853408136,droid_3way_selected150.json
DROID,1338,L1,original,7.6,0.0,0.4,0.07612342071113781,droid_3way_selected150.json
DROID,1338,L1,llm_dual,7.6,0.0,0.4,0.05883965186372486,droid_3way_selected150.json
DROID,1338,L1,llm_val,7.6,1.0,0.6,0.058671509502384624,droid_3way_selected150.json
DROID,1432,L2,original,11.4,0.0,0.4,0.06108988421102152,droid_3way_selected150.json
DROID,1432,L2,llm_dual,11.4,1.0,0.9,0.06573799468090492,droid_3way_selected150.json
DROID,1432,L2,llm_val,11.4,1.0,0.9,0.05981346866040072,droid_3way_selected150.json
DROID,1814,L3,original,19.0,0.0,0.3,0.09011695234798378,droid_3way_selected150.json
DROID,1814,L3,llm_dual,19.0,0.0,0.4,0.07461654099851452,droid_3way_selected150.json
DROID,1814,L3,llm_val,19.0,1.0,0.7,0.06370760707378753,droid_3way_selected150.json
DROID,1492,L1,original,8.133333333333333,0.0,0.4,0.10091312258406822,droid_3way_selected150.json
DROID,1492,L1,llm_dual,8.133333333333333,1.0,0.7,0.08281318676839287,droid_3way_selected150.json
DROID,1492,L1,llm_val,8.133333333333333,1.0,0.8,0.10024577491515285,droid_3way_selected150.json
DROID,1305,L1,original,3.466666666666667,0.0,0.4,0.21504940483479004,droid_3way_selected150.json
DROID,1305,L1,llm_dual,3.466666666666667,0.0,0.4,0.09952830792748883,droid_3way_selected150.json
DROID,1305,L1,llm_val,3.466666666666667,1.0,0.7,0.13782901987830878,droid_3way_selected150.json
DROID,1037,L2,original,10.0,0.0,0.4,0.15774475724665932,droid_3way_selected150.json
DROID,1037,L2,llm_dual,10.0,1.0,0.6,0.11877318256210419,droid_3way_selected150.json
DROID,1037,L2,llm_val,10.0,1.0,0.7,0.09627089133576534,droid_3way_selected150.json
DROID,1852,L2,original,8.666666666666666,0.0,0.4,0.15865520529857458,droid_3way_selected150.json
DROID,1852,L2,llm_dual,8.666666666666666,1.0,0.7,0.12435428451740865,droid_3way_selected150.json
DROID,1852,L2,llm_val,8.666666666666666,1.0,0.7,0.10384370438630774,droid_3way_selected150.json
DROID,1231,L1,original,7.333333333333333,0.0,0.4,0.17960518753623575,droid_3way_selected150.json
DROID,1231,L1,llm_dual,7.333333333333333,1.0,0.9,0.1530704900355382,droid_3way_selected150.json
DROID,1231,L1,llm_val,7.333333333333333,1.0,0.7,0.1268818977856673,droid_3way_selected150.json
DROID,1627,L1,original,7.466666666666667,0.0,0.4,0.14368585630285136,droid_3way_selected150.json
DROID,1627,L1,llm_dual,7.466666666666667,0.0,0.4,0.08750129262718265,droid_3way_selected150.json
DROID,1627,L1,llm_val,7.466666666666667,1.0,0.7,0.11237541212753628,droid_3way_selected150.json
DROID,1399,L2,original,8.733333333333333,0.0,0.4,0.12758902123153398,droid_3way_selected150.json
DROID,1399,L2,llm_dual,8.733333333333333,0.0,0.4,0.1935136937909352,droid_3way_selected150.json
DROID,1399,L2,llm_val,8.733333333333333,1.0,0.7,0.10362720540012903,droid_3way_selected150.json
DROID,1563,L3,original,20.2,0.0,0.4,0.20715374839351441,droid_3way_selected150.json
DROID,1563,L3,llm_dual,20.2,1.0,0.7,0.17726693522621617,droid_3way_selected150.json
DROID,1563,L3,llm_val,20.2,1.0,0.7,0.18506866973284364,droid_3way_selected150.json
DROID,1273,L2,original,8.666666666666666,0.0,0.4,0.17140212084737516,droid_3way_selected150.json
DROID,1273,L2,llm_dual,8.666666666666666,0.0,0.4,0.1834765825078417,droid_3way_selected150.json
DROID,1273,L2,llm_val,8.666666666666666,1.0,0.7,0.15864683270150398,droid_3way_selected150.json
DROID,1159,L2,original,9.0,0.0,0.4,0.12866719914851446,droid_3way_selected150.json
DROID,1159,L2,llm_dual,9.0,0.0,0.4,0.105487923931043,droid_3way_selected150.json
DROID,1159,L2,llm_val,9.0,1.0,0.7,0.1201529173387242,droid_3way_selected150.json
DROID,1550,L3,original,22.2,0.0,0.4,0.07262753103103597,droid_3way_selected150.json
DROID,1550,L3,llm_dual,22.2,1.0,0.7,0.09519429252282137,droid_3way_selected150.json
DROID,1550,L3,llm_val,22.2,1.0,0.7,0.06490042627196886,droid_3way_selected150.json
DROID,1834,L3,original,14.0,0.0,0.4,0.13916405412242322,droid_3way_selected150.json
DROID,1834,L3,llm_dual,14.0,0.0,0.4,0.15467811686808983,droid_3way_selected150.json
DROID,1834,L3,llm_val,14.0,1.0,0.7,0.13352628147195736,droid_3way_selected150.json
DROID,1691,L1,original,7.466666666666667,0.0,0.4,0.31014661651945136,droid_3way_selected150.json
DROID,1691,L1,llm_dual,7.466666666666667,1.0,0.9,0.29745441724812904,droid_3way_selected150.json
DROID,1691,L1,llm_val,7.466666666666667,1.0,0.7,0.3074049931295864,droid_3way_selected150.json
DROID,1648,L3,original,12.066666666666666,0.0,0.4,0.12265025742060409,droid_3way_selected150.json
DROID,1648,L3,llm_dual,12.066666666666666,0.0,0.0,0.09792049987136425,droid_3way_selected150.json
DROID,1648,L3,llm_val,12.066666666666666,1.0,0.7,0.12072248497771206,droid_3way_selected150.json
DROID,1919,L2,original,9.266666666666667,0.0,0.4,0.09701441065505834,droid_3way_selected150.json
DROID,1919,L2,llm_dual,9.266666666666667,1.0,0.7,0.09579744064992025,droid_3way_selected150.json
DROID,1919,L2,llm_val,9.266666666666667,1.0,0.7,0.09582132762573765,droid_3way_selected150.json
DROID,1315,L3,original,13.6,0.0,0.4,0.12317345453004232,droid_3way_selected150.json
DROID,1315,L3,llm_dual,13.6,0.0,0.4,0.08623754177019609,droid_3way_selected150.json
DROID,1315,L3,llm_val,13.6,1.0,0.7,0.12568885081476722,droid_3way_selected150.json
DROID,1896,L3,original,12.6,0.0,0.4,0.22569102711605782,droid_3way_selected150.json
DROID,1896,L3,llm_dual,12.6,0.0,0.4,0.2746362109309526,droid_3way_selected150.json
DROID,1896,L3,llm_val,12.6,1.0,0.7,0.22931880527008075,droid_3way_selected150.json
DROID,1752,L3,original,16.133333333333333,0.0,0.4,0.051764664600834155,droid_3way_selected150.json
DROID,1752,L3,llm_dual,16.133333333333333,1.0,0.4,0.06541722318968751,droid_3way_selected150.json
DROID,1752,L3,llm_val,16.133333333333333,1.0,0.7,0.06291142312931987,droid_3way_selected150.json
DROID,1893,L2,original,9.2,0.0,0.4,0.04402600563032596,droid_3way_selected150.json
DROID,1893,L2,llm_dual,9.2,0.0,0.4,0.05600212285382574,droid_3way_selected150.json
DROID,1893,L2,llm_val,9.2,1.0,0.7,0.055334953119853,droid_3way_selected150.json
DROID,1267,L1,original,6.933333333333334,0.0,0.4,0.17690164055108817,droid_3way_selected150.json
DROID,1267,L1,llm_dual,6.933333333333334,0.0,0.4,0.17900723384105444,droid_3way_selected150.json
DROID,1267,L1,llm_val,6.933333333333334,1.0,0.7,0.1911467035990504,droid_3way_selected150.json
DROID,1732,L3,original,12.333333333333334,0.0,0.4,0.07570039136863263,droid_3way_selected150.json
DROID,1732,L3,llm_dual,12.333333333333334,1.0,0.7,0.095428478112443,droid_3way_selected150.json
DROID,1732,L3,llm_val,12.333333333333334,1.0,0.7,0.09294089329547435,droid_3way_selected150.json
DROID,1087,L3,original,12.333333333333334,0.0,0.4,0.1900832753398812,droid_3way_selected150.json
DROID,1087,L3,llm_dual,12.333333333333334,0.0,0.4,0.21558698632186704,droid_3way_selected150.json
DROID,1087,L3,llm_val,12.333333333333334,1.0,0.7,0.21188697277860222,droid_3way_selected150.json
DROID,1464,L3,original,12.933333333333334,0.0,0.4,0.10548927311020538,droid_3way_selected150.json
DROID,1464,L3,llm_dual,12.933333333333334,1.0,0.7,0.16617223626534025,droid_3way_selected150.json
DROID,1464,L3,llm_val,12.933333333333334,1.0,0.7,0.15240801234227863,droid_3way_selected150.json
DROID,1343,L1,original,4.933333333333334,0.0,0.4,0.07077485437721688,droid_3way_selected150.json
DROID,1343,L1,llm_dual,4.933333333333334,1.0,0.6,0.07634938836399235,droid_3way_selected150.json
DROID,1343,L1,llm_val,4.933333333333334,1.0,0.6,0.05872410729574753,droid_3way_selected150.json
DROID,1261,L2,original,10.666666666666666,0.0,0.4,0.21683315974874942,droid_3way_selected150.json
DROID,1261,L2,llm_dual,10.666666666666666,0.0,0.4,0.12018738424397923,droid_3way_selected150.json
DROID,1261,L2,llm_val,10.666666666666666,1.0,0.4,0.14970011825433202,droid_3way_selected150.json
DROID,1488,L3,original,13.333333333333334,0.0,0.4,0.1139470660280149,droid_3way_selected150.json
DROID,1488,L3,llm_dual,13.333333333333334,0.0,0.4,0.14356058122348603,droid_3way_selected150.json
DROID,1488,L3,llm_val,13.333333333333334,1.0,0.7,0.1451141755320138,droid_3way_selected150.json
DROID,1269,L1,original,6.866666666666666,0.0,0.4,0.22682940546815522,droid_3way_selected150.json
DROID,1269,L1,llm_dual,6.866666666666666,0.0,0.3,0.0767931536860614,droid_3way_selected150.json
DROID,1269,L1,llm_val,6.866666666666666,0.0,0.4,0.057901572083172564,droid_3way_selected150.json
DROID,1682,L1,original,8.133333333333333,0.0,0.4,0.084821892990538,droid_3way_selected150.json
DROID,1682,L1,llm_dual,8.133333333333333,0.0,0.4,0.1581747036572099,droid_3way_selected150.json
DROID,1682,L1,llm_val,8.133333333333333,1.0,0.9,0.12460526911758123,droid_3way_selected150.json
DROID,1349,L2,original,10.266666666666667,0.0,0.0,0.11580895358175429,droid_3way_selected150.json
DROID,1349,L2,llm_dual,10.266666666666667,0.0,0.3,0.09841587059234824,droid_3way_selected150.json
DROID,1349,L2,llm_val,10.266666666666667,0.0,0.3,0.13201526096891195,droid_3way_selected150.json
DROID,1103,L2,original,10.866666666666667,0.0,0.2,0.23855473124403992,droid_3way_selected150.json
DROID,1103,L2,llm_dual,10.866666666666667,0.0,0.3,0.1503058393795579,droid_3way_selected150.json
DROID,1103,L2,llm_val,10.866666666666667,0.0,0.3,0.16709645133847062,droid_3way_selected150.json
DROID,1051,L3,original,16.6,1.0,0.7,0.25856707590299816,droid_3way_selected150.json
DROID,1051,L3,llm_dual,16.6,1.0,0.7,0.09412650384291042,droid_3way_selected150.json
DROID,1051,L3,llm_val,16.6,1.0,0.7,0.09612038770490361,droid_3way_selected150.json
DROID,1167,L3,original,16.0,1.0,0.7,0.1418028605009043,droid_3way_selected150.json
DROID,1167,L3,llm_dual,16.0,0.0,0.4,0.0963963550100786,droid_3way_selected150.json
DROID,1167,L3,llm_val,16.0,1.0,0.8,0.0995665758197521,droid_3way_selected150.json
DROID,1502,L1,original,7.666666666666667,1.0,0.9,0.15215476536474085,droid_3way_selected150.json
DROID,1502,L1,llm_dual,7.666666666666667,1.0,0.9,0.1076022394361924,droid_3way_selected150.json
DROID,1502,L1,llm_val,7.666666666666667,1.0,1.0,0.1121886907725581,droid_3way_selected150.json
DROID,1630,L2,original,8.8,0.0,0.3,0.14272415589369108,droid_3way_selected150.json
DROID,1630,L2,llm_dual,8.8,0.0,0.4,0.12207265368715714,droid_3way_selected150.json
DROID,1630,L2,llm_val,8.8,0.0,0.4,0.1253585663073802,droid_3way_selected150.json
DROID,1015,L3,original,12.533333333333333,1.0,0.7,0.18851490845912125,droid_3way_selected150.json
DROID,1015,L3,llm_dual,12.533333333333333,1.0,0.7,0.08434678036475063,droid_3way_selected150.json
DROID,1015,L3,llm_val,12.533333333333333,1.0,0.7,0.07716802908376791,droid_3way_selected150.json
DROID,1840,L2,original,10.8,0.0,0.3,0.11762748721671623,droid_3way_selected150.json
DROID,1840,L2,llm_dual,10.8,1.0,0.7,0.10713833391274497,droid_3way_selected150.json
DROID,1840,L2,llm_val,10.8,0.0,0.4,0.11144592495193088,droid_3way_selected150.json
DROID,1179,L1,original,5.266666666666667,0.0,0.3,0.07822104237306776,droid_3way_selected150.json
DROID,1179,L1,llm_dual,5.266666666666667,0.0,0.3,0.10199754226361046,droid_3way_selected150.json
DROID,1179,L1,llm_val,5.266666666666667,0.0,0.4,0.08357656130334595,droid_3way_selected150.json
DROID,1712,L2,original,8.266666666666667,0.0,0.4,0.18690453894559522,droid_3way_selected150.json
DROID,1712,L2,llm_dual,8.266666666666667,0.0,0.3,0.09730913281622655,droid_3way_selected150.json
DROID,1712,L2,llm_val,8.266666666666667,0.0,0.4,0.10278796084389576,droid_3way_selected150.json
DROID,1784,L3,original,17.066666666666666,0.0,0.4,0.18597531668163936,droid_3way_selected150.json
DROID,1784,L3,llm_dual,17.066666666666666,0.0,0.3,0.1176245078983638,droid_3way_selected150.json
DROID,1784,L3,llm_val,17.066666666666666,0.0,0.4,0.1020963763062831,droid_3way_selected150.json
DROID,1258,L3,original,17.066666666666666,0.0,0.4,0.21484900429651657,droid_3way_selected150.json
DROID,1258,L3,llm_dual,17.066666666666666,0.0,0.4,0.1323876464855329,droid_3way_selected150.json
DROID,1258,L3,llm_val,17.066666666666666,0.0,0.4,0.1362165025934086,droid_3way_selected150.json
DROID,1580,L3,original,12.2,0.0,0.4,0.13705803910874406,droid_3way_selected150.json
DROID,1580,L3,llm_dual,12.2,1.0,0.7,0.09143864010179421,droid_3way_selected150.json
DROID,1580,L3,llm_val,12.2,0.0,0.4,0.060641765123837225,droid_3way_selected150.json
DROID,1700,L1,original,6.8,0.0,0.4,0.20408207014372107,droid_3way_selected150.json
DROID,1700,L1,llm_dual,6.8,1.0,0.7,0.1493157983401255,droid_3way_selected150.json
DROID,1700,L1,llm_val,6.8,0.0,0.4,0.13256979194653065,droid_3way_selected150.json
DROID,1433,L3,original,22.066666666666666,0.0,0.4,0.13100435390472695,droid_3way_selected150.json
DROID,1433,L3,llm_dual,22.066666666666666,0.0,0.4,0.08531099833246682,droid_3way_selected150.json
DROID,1433,L3,llm_val,22.066666666666666,0.0,0.4,0.07813413197903506,droid_3way_selected150.json
DROID,1687,L2,original,9.6,0.0,0.4,0.1394589551672978,droid_3way_selected150.json
DROID,1687,L2,llm_dual,9.6,0.0,0.0,0.13991073098381163,droid_3way_selected150.json
DROID,1687,L2,llm_val,9.6,0.0,0.4,0.08667967378973802,droid_3way_selected150.json
DROID,1499,L1,original,6.066666666666666,0.0,0.4,0.15401565678306905,droid_3way_selected150.json
DROID,1499,L1,llm_dual,6.066666666666666,0.0,0.4,0.0978462988562822,droid_3way_selected150.json
DROID,1499,L1,llm_val,6.066666666666666,0.0,0.4,0.1022572959201586,droid_3way_selected150.json
DROID,1374,L2,original,8.266666666666667,1.0,0.9,0.09832359874099039,droid_3way_selected150.json
DROID,1374,L2,llm_dual,8.266666666666667,1.0,0.9,0.06235229691121511,droid_3way_selected150.json
DROID,1374,L2,llm_val,8.266666666666667,1.0,0.9,0.05725733633980853,droid_3way_selected150.json
DROID,1151,L1,original,6.466666666666667,1.0,0.7,0.14499153994996858,droid_3way_selected150.json
DROID,1151,L1,llm_dual,6.466666666666667,1.0,0.7,0.11526611603407023,droid_3way_selected150.json
DROID,1151,L1,llm_val,6.466666666666667,1.0,0.7,0.10547918245098596,droid_3way_selected150.json
DROID,1241,L1,original,6.333333333333333,0.0,0.0,0.1456698322444204,droid_3way_selected150.json
DROID,1241,L1,llm_dual,6.333333333333333,0.0,0.0,0.06466458937369411,droid_3way_selected150.json
DROID,1241,L1,llm_val,6.333333333333333,0.0,0.3,0.07650867078357147,droid_3way_selected150.json
DROID,1176,L2,original,11.333333333333334,1.0,0.7,0.09004576261236563,droid_3way_selected150.json
DROID,1176,L2,llm_dual,11.333333333333334,1.0,0.8,0.07734279137613082,droid_3way_selected150.json
DROID,1176,L2,llm_val,11.333333333333334,1.0,0.7,0.057946455739205975,droid_3way_selected150.json
DROID,1440,L3,original,14.066666666666666,0.0,0.4,0.1148306379489994,droid_3way_selected150.json
DROID,1440,L3,llm_dual,14.066666666666666,0.0,0.0,0.13678504326705246,droid_3way_selected150.json
DROID,1440,L3,llm_val,14.066666666666666,0.0,0.4,0.08360628851622544,droid_3way_selected150.json
DROID,1906,L2,original,10.4,0.0,0.4,0.13435957655884878,droid_3way_selected150.json
DROID,1906,L2,llm_dual,10.4,0.0,0.4,0.1095809565476847,droid_3way_selected150.json
DROID,1906,L2,llm_val,10.4,0.0,0.4,0.10562958803845823,droid_3way_selected150.json
DROID,1729,L1,original,7.6,0.0,0.4,0.09705589714746694,droid_3way_selected150.json
DROID,1729,L1,llm_dual,7.6,0.0,0.2,0.10390290423378734,droid_3way_selected150.json
DROID,1729,L1,llm_val,7.6,0.0,0.4,0.06851793935603044,droid_3way_selected150.json
DROID,1838,L3,original,16.533333333333335,0.0,0.4,0.1015048639228258,droid_3way_selected150.json
DROID,1838,L3,llm_dual,16.533333333333335,1.0,0.7,0.06953325974651801,droid_3way_selected150.json
DROID,1838,L3,llm_val,16.533333333333335,0.0,0.4,0.07439528073878703,droid_3way_selected150.json
DROID,1346,L2,original,9.933333333333334,0.0,0.4,0.054524753502503236,droid_3way_selected150.json
DROID,1346,L2,llm_dual,9.933333333333334,1.0,0.7,0.04419285743226655,droid_3way_selected150.json
DROID,1346,L2,llm_val,9.933333333333334,0.0,0.4,0.03087521812126932,droid_3way_selected150.json
DROID,1513,L3,original,13.733333333333333,0.0,0.0,0.08282653172094602,droid_3way_selected150.json
DROID,1513,L3,llm_dual,13.733333333333333,0.0,0.0,0.052974223989489866,droid_3way_selected150.json
DROID,1513,L3,llm_val,13.733333333333333,0.0,0.0,0.059988764496637315,droid_3way_selected150.json
DROID,1412,L3,original,16.733333333333334,1.0,0.8,0.10737759446727298,droid_3way_selected150.json
DROID,1412,L3,llm_dual,16.733333333333334,1.0,0.7,0.08344403606949473,droid_3way_selected150.json
DROID,1412,L3,llm_val,16.733333333333334,1.0,0.8,0.08457246485350307,droid_3way_selected150.json
